Surface Type,Location,Climate Zones,Ground Adjacent,Construction Type,Occupancy Types,Heated,U/F/C,R-Cavity,R-Continuous,Notes
Roof,Exterior,"0A,0B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,NONRESIDENTIAL,FALSE,0.039,0,25,
Roof,Exterior,"0A,0B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,RESIDENTIAL,FALSE,0.032,0,30,
Roof,Semi-exterior,"0A,0B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.218,0,3.8,
Roof,Exterior,"0A,0B,1A,1B,2A,2B,3A,3B,3C",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.041,19,10,
Roof,Semi-exterior,"0A,0B,1A,1B",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.115,0,10,
Roof,Exterior,"0A,0B,1A,1B,2A,2B,3A,3B,3C",FALSE,"ATTIC,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.027,38,0,
Roof,Semi-exterior,"0A,0B,1A,1B",FALSE,"ATTIC,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.081,13,0,
Roof,Exterior,"1A,1B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,NONRESIDENTIAL,FALSE,0.048,0,20,
Roof,Exterior,"1A,1B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,RESIDENTIAL,FALSE,0.039,0,25,
Roof,Semi-exterior,"1A,1B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.218,0,3.8,
Roof,Exterior,"2A,2B,3A,3B,3C",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.039,0,25,
Roof,Semi-exterior,"2A,2B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.173,0,5,
Roof,Semi-exterior,"2A,2B,3A,3B,3C",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.096,16,0,
Roof,Semi-exterior,"2A,2B,3A,3B,3C",FALSE,"ATTIC,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.053,19,0,
Roof,Semi-exterior,"3A,3B,3C",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.119,0,7.6,
Roof,Exterior,"4A,4B,4C,5A,5B,5C,6A,6B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.032,0,30,
Roof,Semi-exterior,"4A,4B,4C",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.093,0,10,
Roof,Exterior,"4A,4B,4C,5A,5B,5C",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.037,19,11,
Roof,Semi-exterior,"4A,4B,4C,5A,5B,5C",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.082,19,0,
Roof,Exterior,"4A,4B,4C,5A,5B,5C,6A,6B",FALSE,"ATTIC,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.021,49,0,
Roof,Semi-exterior,"4A,4B,4C,5A,5B,5C,6A,6B",FALSE,"ATTIC,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.034,30,0,
Roof,Semi-exterior,"5A,5B,5C,6A,6B",FALSE,INSULATION_ENTIRELY_ABOVE_DECK,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.063,0,15,
Roof,Exterior,"6A,6B",FALSE,METAL_BUILDING,NONRESIDENTIAL,FALSE,0.031,25,11,
Roof,Exterior,"6A,6B",FALSE,METAL_BUILDING,RESIDENTIAL,FALSE,0.029,30,11,
Roof,Semi-exterior,"6A,6B",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.06,38,0,
