Surface Type,Location,Climate Zones,Ground Adjacent,Construction Type,Occupancy Types,Heated,U/F/C,R-Cavity,R-Continuous,Notes
Roof,Exterior,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",FALSE,METAL_BUILDING,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.041,,,
Roof,Exterior,"1,2,3,4,5,9,10,11,12,13,14,15,16",FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.034,,,
Roof,Exterior,"6,7,8",FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.049,,,
Roof,Exterior,"1,2,4,8,9,10,11,12,13,14,15,16",FALSE,"WOOD_FRAMED,OTHER",RESIDENTIAL,FALSE,0.028,,,
Roof,Exterior,"3,5,6",FALSE,"WOOD_FRAMED,OTHER",RESIDENTIAL,FALSE,0.034,,,
Roof,Exterior,7,FALSE,"WOOD_FRAMED,OTHER",RESIDENTIAL,FALSE,0.039,,,
Wall,Exterior,"1,3,6,7",FALSE,METAL_BUILDING,NONRESIDENTIAL,FALSE,0.113,,,
Wall,Exterior,"2,4,5,8,9,10,11,12,13,14,16",FALSE,METAL_BUILDING,NONRESIDENTIAL,FALSE,0.061,,,
Wall,Exterior,15,FALSE,METAL_BUILDING,NONRESIDENTIAL,FALSE,0.057,,,
Wall,Exterior,"1,2,3,4,5,6,7,8,9,10",FALSE,METAL_BUILDING,RESIDENTIAL,FALSE,0.061,,,
Wall,Exterior,"11,12,13,14,15,16",FALSE,METAL_BUILDING,RESIDENTIAL,FALSE,0.057,,,
Wall,Exterior,"1,6,7",FALSE,METAL_FRAMED,NONRESIDENTIAL,FALSE,0.069,,,
Wall,Exterior,"2,4,5,8,9,10,11,12,13,14,15,16",FALSE,METAL_FRAMED,NONRESIDENTIAL,FALSE,0.062,,,
Wall,Exterior,3,FALSE,METAL_FRAMED,NONRESIDENTIAL,FALSE,0.082,,,
Wall,Exterior,"1,2,3,4,5,6,8,9,10,11,12,13,14,16",FALSE,METAL_FRAMED,RESIDENTIAL,FALSE,0.069,,,
Wall,Exterior,7,FALSE,METAL_FRAMED,RESIDENTIAL,FALSE,0.105,,,
Wall,Exterior,15,FALSE,METAL_FRAMED,RESIDENTIAL,FALSE,0.048,,,
Wall,Exterior,1,FALSE,MASS_LIGHT,NONRESIDENTIAL,FALSE,0.196,,,
Wall,Exterior,"2,10,11,12,13,14,15,16",FALSE,MASS_LIGHT,NONRESIDENTIAL,FALSE,0.17,,,
Wall,Exterior,3,FALSE,MASS_LIGHT,NONRESIDENTIAL,FALSE,0.278,,,
Wall,Exterior,4,FALSE,MASS_LIGHT,NONRESIDENTIAL,FALSE,0.227,,,
Wall,Exterior,"5,6,7,8,9",FALSE,MASS_LIGHT,NONRESIDENTIAL,FALSE,0.44,,,
Wall,Exterior,"1,2,3,4,5,10,11,12,13,14,15,16",FALSE,MASS_LIGHT,RESIDENTIAL,FALSE,0.17,,,
Wall,Exterior,7,FALSE,MASS_LIGHT,RESIDENTIAL,FALSE,0.105,,,
Wall,Exterior,15,FALSE,MASS_LIGHT,RESIDENTIAL,FALSE,0.048,,,
Wall,Exterior,"1,12",FALSE,MASS_HEAVY,NONRESIDENTIAL,FALSE,0.253,,,
Wall,Exterior,"2,3,4,5,10",FALSE,MASS_HEAVY,NONRESIDENTIAL,FALSE,0.65,,,
Wall,Exterior,"6,7,8,9",FALSE,MASS_HEAVY,NONRESIDENTIAL,FALSE,0.69,,,
Wall,Exterior,"11,14,15",FALSE,MASS_HEAVY,NONRESIDENTIAL,FALSE,0.184,,,
Wall,Exterior,13,FALSE,MASS_HEAVY,NONRESIDENTIAL,FALSE,0.211,,,
Wall,Exterior,16,FALSE,MASS_HEAVY,NONRESIDENTIAL,FALSE,0.16,,,
Wall,Exterior,"1,2,3,16",FALSE,MASS_HEAVY,RESIDENTIAL,FALSE,0.16,,,
Wall,Exterior,"4,11,14,15",FALSE,MASS_HEAVY,RESIDENTIAL,FALSE,0.184,,,
Wall,Exterior,"5,13",FALSE,MASS_HEAVY,RESIDENTIAL,FALSE,0.211,,,
Wall,Exterior,"6,7,8,9,10",FALSE,MASS_HEAVY,RESIDENTIAL,FALSE,0.69,,,
Wall,Exterior,12,FALSE,MASS_HEAVY,RESIDENTIAL,FALSE,0.253,,,
Wall,Exterior,1,FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.095,,,
Wall,Exterior,"2,4,9,10,12,13,14,16",FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.059,,,
Wall,Exterior,"3,6,7",FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.11,,,
Wall,Exterior,"5,8",FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.102,,,
Wall,Exterior,11,FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.045,,,
Wall,Exterior,15,FALSE,"WOOD_FRAMED,OTHER",NONRESIDENTIAL,FALSE,0.042,,,
Wall,Exterior,"1,2,3,4,5,6,7,8,9,10,12,13",FALSE,"WOOD_FRAMED,OTHER",RESIDENTIAL,FALSE,0.059,,,
Wall,Exterior,"11,14,15,16",FALSE,"WOOD_FRAMED,OTHER",RESIDENTIAL,FALSE,0.042,,,
Wall,Semi-exterior,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",FALSE,WOOD_FRAMED,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.099,,,Demising Walls
